City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,targuist,34.9377,-4.3186,47.73,58,26,5.28,MA,1701042190
148,nouadhibou,20.931,-17.0347,69.78,56,0,16.11,MR,1701042190
149,grand-bassam,5.2118,-3.7388,78.76,83,100,0.09,CI,1701042190
150,cole harbour,44.6724,-63.4751,38.71,78,39,3.44,CA,1701042191
151,hotan,37.0997,79.9269,37.08,31,85,3.29,CN,1701042191
152,lagos,6.5833,3.75,77.32,93,100,1.39,NG,1701042191
153,ilhabela,-23.7781,-45.3581,69.42,92,100,6.89,BR,1701042191
154,bratsk,56.1325,101.6142,-8.66,97,61,2.24,RU,1701042191
155,kluang,2.0251,103.3328,73.49,98,100,2.75,MY,1701042191
156,sao gabriel da cachoeira,-0.1303,-67.0892,76.46,85,91,2.55,BR,1701042192
157,sergeyevka,53.88,67.4158,32.07,85,100,8.39,KZ,1701042192
158,tazacorte,28.629,-17.9293,66.15,80,0,9.22,ES,1701042192
159,paris,48.8534,2.3488,42.98,81,0,8.05,FR,1701042050
160,yerofey pavlovich,53.9667,121.9667,-8.82,83,72,4.05,RU,1701042192
161,hadibu,12.65,54.0333,78.24,75,97,11.7,YE,1701042192
162,antsiranana,-12.2787,49.2917,77.07,77,100,10.33,MG,1701042192
163,ginir,7.1333,40.7,54.77,54,74,1.92,ET,1701042193
164,tchintabaraden,15.8969,5.7985,80.19,21,95,7.34,NE,1701042193
165,bryne,58.7354,5.6477,39.97,81,100,17.27,NO,1701042193
166,qarauyl,48.9451,79.255,30.78,70,99,3.06,KZ,1701042193
167,mana,5.6592,-53.7767,79.39,85,71,8.7,GF,1701042193
168,cockburn town,21.4612,-71.1419,80.56,65,20,9.22,TC,1701042193
169,saint-pierre,-21.3393,55.4781,71.56,68,0,6.91,RE,1701042194
170,la passe,45.5549,-0.8967,37.63,62,100,6.2,FR,1701042194
171,hinton,53.4001,-117.5857,25.32,93,45,4.41,CA,1701042194
172,sterling,39.0062,-77.4286,44.6,89,100,3.44,US,1701042177
173,camana,-16.6228,-72.7111,67.91,80,49,5.86,PE,1701042194
174,ixtapa,20.7,-105.2,81.63,57,100,4.61,MX,1701042195
175,fortuna,40.5982,-124.1573,58.12,56,0,0.0,US,1701042195
176,ha'il,27.5219,41.6907,60.82,51,0,4.61,SA,1701042195
177,follonica,42.9263,10.7616,54.9,80,95,6.76,IT,1701042195
178,flying fish cove,-10.4217,105.6791,76.68,83,100,8.05,CX,1701042195
179,puerto aysen,-45.4,-72.7,50.45,74,80,2.24,CL,1701042110
180,kingston,17.997,-76.7936,83.35,78,20,20.71,JM,1701042196
181,berdyansk,46.7503,36.7944,40.55,79,67,42.35,UA,1701042196
182,hamilton,39.1834,-84.5333,45.86,87,100,14.0,US,1701042159
183,buka,40.8108,69.1986,52.86,33,87,0.6,UZ,1701042196
184,candido mendes,-1.4467,-45.7167,74.98,91,41,3.36,BR,1701042196
185,georgetown,5.4112,100.3354,78.73,92,20,3.44,MY,1701042178
186,mocimboa,-11.3167,40.35,75.25,92,34,2.37,MZ,1701042197
187,kone,-21.0595,164.8658,85.19,46,99,1.57,NC,1701042069
188,frontera,26.9333,-101.45,54.9,87,100,8.01,MX,1701042197
189,mount isa,-20.7333,139.5,82.17,57,90,11.5,AU,1701042197
190,valle del guamuez,0.4525,-76.9192,71.62,96,64,2.13,CO,1701042197
191,mirny,62.5353,113.9611,3.24,84,98,7.0,RU,1701042197
192,galliano,29.4422,-90.2992,64.99,88,0,3.44,US,1701042198
193,golere,16.2557,-14.1017,78.26,14,3,10.0,SN,1701042198
194,kattivakkam,13.2167,80.3167,81.07,89,83,5.39,IN,1701042198
195,dibba al-hisn,25.6196,56.2729,68.18,71,57,2.89,AE,1701042198
196,moundou,8.5667,16.0833,79.92,29,60,4.54,TD,1701042198
197,huilong,31.8111,121.655,50.34,66,7,11.81,CN,1701042199
198,saldanha,-33.0117,17.9442,59.05,86,6,12.86,ZA,1701042199
199,suoyarvi,62.0833,32.35,9.28,98,99,4.32,RU,1701042199
200,chibougamau,49.9168,-74.3659,26.22,93,100,10.36,CA,1701042199
201,plettenberg bay,-34.0527,23.3716,65.12,70,50,5.44,ZA,1701042199
202,tottori,35.5,134.2333,50.07,76,20,9.22,JP,1701042005
203,al kharj,24.155,47.3346,73.98,43,41,8.68,SA,1701042199
204,ashland,40.8167,-82.2665,42.76,97,100,14.67,US,1701042200
205,belmonte,-15.8631,-38.8828,74.86,88,56,5.03,BR,1701042200
206,carnarvon,-24.8667,113.6333,72.28,65,84,11.48,AU,1701042200
207,moose jaw,50.4001,-105.5344,23.27,68,100,10.36,CA,1701042200
208,warmbad,-28.45,18.7333,77.16,24,64,7.9,,1701042200
209,novodvinsk,64.4165,40.8122,-1.73,98,62,3.8,RU,1701042200
210,mount pearl,47.5166,-52.7813,34.32,83,100,4.61,CA,1701042201
211,arvayheer,46.2639,102.775,11.84,62,82,9.06,MN,1701042201
212,sinabang,2.4803,96.3801,78.55,82,99,3.13,ID,1701042201
213,aasiaat,68.7098,-52.8699,22.42,96,100,9.62,GL,1701042201
214,los andes,-32.8337,-70.5983,72.01,58,4,2.75,CL,1701042201
215,kourou,5.1552,-52.6478,80.65,88,97,6.87,GF,1701042201
216,dakhla,23.6848,-15.958,66.51,82,0,17.05,EH,1701042201
217,hithadhoo,-0.6,73.0833,81.63,75,59,3.47,MV,1701042201
218,naracoorte,-36.9579,140.7383,64.31,54,8,9.57,AU,1701042202
219,makinsk,52.6292,70.4169,30.52,78,100,10.78,KZ,1701042202
220,gurupa,-1.405,-51.64,74.01,98,80,4.38,BR,1701042202
221,chinsali,-10.5414,32.0816,64.69,92,100,3.96,ZM,1701042202
222,tileagd,47.0667,22.2,27.95,86,62,7.4,RO,1701042202
223,al jawf,29.5,38.75,60.96,35,0,9.46,SA,1701042202
224,hancheng,32.5186,112.3522,45.77,73,0,4.63,CN,1701042202
225,kuanda,56.3161,116.0806,-14.82,92,98,2.28,RU,1701042203
226,zheleznogorsk-ilimskiy,56.5768,104.1217,-9.29,100,53,2.75,RU,1701042203
227,lincoln city,44.9582,-124.0179,52.86,69,2,3.38,US,1701042203
228,ingeniero guillermo n. juarez,-23.9,-61.85,77.0,79,86,7.92,AR,1701042203
229,copala,16.65,-98.9833,79.77,77,79,3.06,MX,1701042203
230,lichinga,-13.3128,35.2406,67.91,59,84,3.98,MZ,1701042203
231,cabedelo,-6.9811,-34.8339,81.27,73,1,11.97,BR,1701042081
232,tongliao,43.6125,122.2653,13.77,93,100,3.62,CN,1701042204
233,remire-montjoly,4.9167,-52.2667,80.64,89,75,3.44,GF,1701042204
234,giyani,-23.3025,30.7187,73.96,49,0,4.41,ZA,1701042204
235,nuuk,64.1835,-51.7216,30.81,100,100,20.71,GL,1701041940
236,kristiansund,63.1115,7.732,27.25,68,5,5.75,NO,1701042204
237,aguazul,5.1728,-72.5471,75.76,85,74,2.55,CO,1701042204
238,punta arenas,-53.15,-70.9167,50.11,53,20,20.71,CL,1701042204
239,maitum,6.0392,124.4986,82.89,74,35,1.39,PH,1701042205
240,tongchuanshi,35.0806,109.0897,42.46,42,2,5.77,CN,1701042205
241,taoudenni,22.6783,-3.9836,64.17,20,34,8.9,ML,1701042205
242,guerrero negro,27.9769,-114.0611,68.32,55,13,11.61,MX,1701042205
243,margate,51.3813,1.3862,49.69,94,100,11.99,GB,1701042205
244,saint-philippe,-21.3585,55.7679,71.19,78,40,1.39,RE,1701042205
245,enewetak,11.3474,162.3373,82.38,80,43,22.66,MH,1701042205
246,mcminnville,45.2101,-123.1987,52.02,59,0,8.05,US,1701042038
247,santa cruz,-17.8,-63.1667,82.45,65,40,10.36,BO,1701042206
248,griffith,41.5284,-87.4237,33.89,86,100,11.5,US,1701042206
249,dryden,49.7833,-92.7503,12.49,79,100,10.36,CA,1701042206
250,waynesboro,38.0685,-78.8895,43.38,72,75,0.0,US,1701042206
251,akureyri,65.6835,-18.0878,22.93,93,0,2.3,IS,1701042206
252,las navas del marques,40.6024,-4.3345,43.65,67,83,3.98,ES,1701042206
253,lihue,21.9789,-159.3672,79.84,75,75,17.27,US,1701042207
254,hermanus,-34.4187,19.2345,61.61,76,15,2.84,ZA,1701042207
255,dourados,-22.2211,-54.8056,68.16,97,97,5.3,BR,1701041930
256,okha,53.5739,142.9478,9.03,88,93,27.72,RU,1701042207
257,ghanzi,-21.5667,21.7833,80.35,30,21,5.41,BW,1701042207
258,keflavik,64.0049,-22.5624,42.71,100,75,18.41,IS,1701042207
259,talara,-4.5772,-81.2719,74.16,73,75,11.5,PE,1701042207
260,motueka,-41.1333,173.0167,64.4,64,29,8.01,NZ,1701042207
261,pechora,65.1472,57.2244,-9.63,100,38,2.68,RU,1701042208
262,meadow lake,34.8014,-106.5436,42.31,45,4,2.01,US,1701042208
263,ailuk,10.2197,169.9797,81.97,79,60,21.32,MH,1701042208
264,bile,48.4952,39.0505,41.25,66,100,36.48,UA,1701042208
265,ilulissat,69.2167,-51.1,30.22,93,100,4.61,GL,1701042208
266,fada,9.5667,8.3,69.51,77,50,2.66,NG,1701042107
267,fort bragg,35.139,-79.006,48.81,91,100,3.44,US,1701042208
268,itoman,26.1247,127.6694,75.22,80,75,10.36,JP,1701042209
269,talwandi bhai,30.85,74.9333,61.84,36,100,1.68,IN,1701042209
